"No.","Time","Source","Destination","Protocol","Length","Info"
"3167","529.435295","host","1.1.3","USB","102","URB_ISOCHRONOUS out"
"3168","529.435317","1.1.3","host","USB","228","URB_ISOCHRONOUS in"
"3169","529.435323","host","1.1.3","USB","147","URB_ISOCHRONOUS in"
"3170","529.438243","1.1.3","host","USB","75","URB_ISOCHRONOUS out"
"3171","529.438276","1.2.3","host","USB","2079","URB_ISOCHRONOUS in"
"3172","529.438321","host","1.2.3","USB","159","URB_ISOCHRONOUS in"
"3173","529.441232","1.1.3","host","USB","75","URB_ISOCHRONOUS out"
"3174","529.441333","host","1.1.3","USB","102","URB_ISOCHRONOUS out"
"3175","529.441361","host","1.1.3","USB","102","URB_ISOCHRONOUS out"
"3176","529.444232","1.1.3","host","USB","75","URB_ISOCHRONOUS out"
"3177","529.444258","1.1.3","host","USB","228","URB_ISOCHRONOUS in"
"3178","529.444269","host","1.1.3","USB","147","URB_ISOCHRONOUS in"
"3179","529.447287","1.1.3","host","USB","75","URB_ISOCHRONOUS out"
"3180","529.447363","host","1.1.3","USB","102","URB_ISOCHRONOUS out"
"3181","529.447386","host","1.1.3","USB","102","URB_ISOCHRONOUS out"
"3182","529.449290","1.2.3","host","USB","2079","URB_ISOCHRONOUS in"
"3183","529.449384","host","1.2.3","USB","159","URB_ISOCHRONOUS in"
"3184","529.450284","1.1.3","host","USB","75","URB_ISOCHRONOUS out"
"3185","529.450299","host","1.1.3","USB","102","URB_ISOCHRONOUS out"
"3186","529.453218","1.1.3","host","USB","75","URB_ISOCHRONOUS out"
"3187","529.453238","1.1.3","host","USB","228","URB_ISOCHRONOUS in"
"3188","529.453245","host","1.1.3","USB","147","URB_ISOCHRONOUS in"
"3189","529.456234","1.1.3","host","USB","75","URB_ISOCHRONOUS out"
"3190","529.456385","host","1.1.3","USB","102","URB_ISOCHRONOUS out"
"3191","529.456413","host","1.1.3","USB","102","URB_ISOCHRONOUS out"
"3192","529.458249","1.2.3","host","USB","2079","URB_ISOCHRONOUS in"
"3193","529.458339","host","1.2.3","USB","159","URB_ISOCHRONOUS in"
"3194","529.459221","1.1.3","host","USB","75","URB_ISOCHRONOUS out"
"3195","529.462235","1.1.3","host","USB","75","URB_ISOCHRONOUS out"
"3196","529.462270","1.1.3","host","USB","228","URB_ISOCHRONOUS in"
"3197","529.462278","host","1.1.3","USB","147","URB_ISOCHRONOUS in"
"3198","529.462334","host","1.1.3","USB","102","URB_ISOCHRONOUS out"
"3199","529.462355","host","1.1.3","USB","102","URB_ISOCHRONOUS out"
"3200","529.465302","1.1.3","host","USB","75","URB_ISOCHRONOUS out"
"3201","529.465316","host","1.1.3","USB","102","URB_ISOCHRONOUS out"
"3202","529.468230","1.1.3","host","USB","75","URB_ISOCHRONOUS out"
"3203","529.469286","1.2.3","host","USB","2079","URB_ISOCHRONOUS in"
"3204","529.469378","host","1.2.3","USB","159","URB_ISOCHRONOUS in"
"3205","529.471235","1.1.3","host","USB","75","URB_ISOCHRONOUS out"
"3206","529.471265","1.1.3","host","USB","228","URB_ISOCHRONOUS in"
"3207","529.471274","host","1.1.3","USB","147","URB_ISOCHRONOUS in"
"3208","529.471347","host","1.1.3","USB","102","URB_ISOCHRONOUS out"
"3209","529.471368","host","1.1.3","USB","102","URB_ISOCHRONOUS out"
"3210","529.474260","1.1.3","host","USB","75","URB_ISOCHRONOUS out"
"3211","529.477289","1.1.3","host","USB","75","URB_ISOCHRONOUS out"
"3212","529.477502","host","1.1.3","USB","102","URB_ISOCHRONOUS out"
"3213","529.477619","host","1.1.3","USB","102","URB_ISOCHRONOUS out"
"3214","529.479287","1.2.3","host","USB","2079","URB_ISOCHRONOUS in"
"3215","529.479390","host","1.2.3","USB","159","URB_ISOCHRONOUS in"
"3216","529.480232","1.1.3","host","USB","75","URB_ISOCHRONOUS out"
"3217","529.480251","host","1.1.3","USB","102","URB_ISOCHRONOUS out"
"3218","529.480279","1.1.3","host","USB","228","URB_ISOCHRONOUS in"
"3219","529.480285","host","1.1.3","USB","147","URB_ISOCHRONOUS in"
"3220","529.483286","1.1.3","host","USB","75","URB_ISOCHRONOUS out"
"3221","529.486281","1.1.3","host","USB","75","URB_ISOCHRONOUS out"
"3222","529.486340","host","1.1.3","USB","102","URB_ISOCHRONOUS out"
"3223","529.486359","host","1.1.3","USB","102","URB_ISOCHRONOUS out"
"3224","529.489241","1.1.3","host","USB","75","URB_ISOCHRONOUS out"
"3225","529.489275","1.1.3","host","USB","228","URB_ISOCHRONOUS in"
"3226","529.489284","host","1.1.3","USB","147","URB_ISOCHRONOUS in"
"3227","529.489361","1.2.3","host","USB","2079","URB_ISOCHRONOUS in"
"3228","529.489407","host","1.2.3","USB","159","URB_ISOCHRONOUS in"
"3229","529.492287","1.1.3","host","USB","75","URB_ISOCHRONOUS out"
"3230","529.492374","host","1.1.3","USB","102","URB_ISOCHRONOUS out"
"3231","529.492425","host","1.1.3","USB","102","URB_ISOCHRONOUS out"
"3232","529.495227","1.1.3","host","USB","75","URB_ISOCHRONOUS out"
"3233","529.495254","host","1.1.3","USB","102","URB_ISOCHRONOUS out"
"3234","529.498278","1.1.3","host","USB","75","URB_ISOCHRONOUS out"
"3235","529.498296","1.1.3","host","USB","228","URB_ISOCHRONOUS in"
"3236","529.498303","host","1.1.3","USB","147","URB_ISOCHRONOUS in"
"3237","529.499276","1.2.3","host","USB","2079","URB_ISOCHRONOUS in"
"3238","529.499375","host","1.2.3","USB","159","URB_ISOCHRONOUS in"
"3239","529.501229","1.1.3","host","USB","75","URB_ISOCHRONOUS out"
"3240","529.501328","host","1.1.3","USB","102","URB_ISOCHRONOUS out"
"3241","529.501356","host","1.1.3","USB","102","URB_ISOCHRONOUS out"
"3242","529.504232","1.1.3","host","USB","75","URB_ISOCHRONOUS out"
"3243","529.507233","1.1.3","host","USB","75","URB_ISOCHRONOUS out"
"3244","529.507261","1.1.3","host","USB","228","URB_ISOCHRONOUS in"
"3245","529.507269","host","1.1.3","USB","147","URB_ISOCHRONOUS in"
"3246","529.507394","host","1.1.3","USB","102","URB_ISOCHRONOUS out"
"3247","529.507442","host","1.1.3","USB","102","URB_ISOCHRONOUS out"
"3248","529.509255","1.2.3","host","USB","2079","URB_ISOCHRONOUS in"
"3249","529.509391","host","1.2.3","USB","159","URB_ISOCHRONOUS in"
"3250","529.510282","1.1.3","host","USB","75","URB_ISOCHRONOUS out"
"3251","529.510309","host","1.1.3","USB","102","URB_ISOCHRONOUS out"
"3252","529.513229","1.1.3","host","USB","75","URB_ISOCHRONOUS out"
"3253","529.516221","1.1.3","host","USB","75","URB_ISOCHRONOUS out"
"3254","529.516266","1.1.3","host","USB","228","URB_ISOCHRONOUS in"
"3255","529.516275","host","1.1.3","USB","147","URB_ISOCHRONOUS in"
"3256","529.516395","host","1.1.3","USB","102","URB_ISOCHRONOUS out"
"3257","529.516420","host","1.1.3","USB","102","URB_ISOCHRONOUS out"
"3258","529.519226","1.1.3","host","USB","75","URB_ISOCHRONOUS out"
"3259","529.519244","1.2.3","host","USB","2079","URB_ISOCHRONOUS in"
"3260","529.519320","host","1.2.3","USB","159","URB_ISOCHRONOUS in"
"3261","529.522262","1.1.3","host","USB","75","URB_ISOCHRONOUS out"
"3262","529.522384","host","1.1.3","USB","102","URB_ISOCHRONOUS out"
"3263","529.522413","host","1.1.3","USB","102","URB_ISOCHRONOUS out"
"3264","529.525291","1.1.3","host","USB","75","URB_ISOCHRONOUS out"
"3265","529.525312","host","1.1.3","USB","102","URB_ISOCHRONOUS out"
"3266","529.525342","1.1.3","host","USB","228","URB_ISOCHRONOUS in"
"3267","529.525349","host","1.1.3","USB","147","URB_ISOCHRONOUS in"
"3268","529.528287","1.1.3","host","USB","75","URB_ISOCHRONOUS out"
"3269","529.529304","1.2.3","host","USB","2079","URB_ISOCHRONOUS in"
